"NO.","PART DESCRIPTION","REF.","STOCK NO.","PART NO.","CAGE","Location","QTY"
"1","ICS CABINET ASSEMBLY, SICS","See Figure 3-2","7025-05-000-1773","32.1557.712-00","57219","Not Stocked Locally",""
"2","ICS CABINET ASSEMBLY, PICS","See Figure 3-3","NSL","32.1557.711-00","57219","Not Stocked Locally",""
"3","SCAN HEAD ASSEMBLY","See Figure 3-4","7025-04-000-6086","32.1578.351-00","57219","C02I1","1"
"4","ELECTRONICS ENCLOSURE ASSEMBLY","See Figure 3-5","7025-04-000-6085","32.1578.340-00","57219","ST-27","0"
"","ICS Cabinet Assembly, SICS","Figure 3-2.csv","7025-05-000-1773","32.1557.712-00","57219","Not Stocked Locally",""
"1","Cabinet, computer, ICS","Figure 3-2.csv","7025-06-000-8087","202-0088-001","57219","Not Stocked Locally",""
"1","Cabinet, computer, ICS","Figure 3-2.csv","7025-06-000-8087","WA4-421930-USPS-5","0HLX1","Not Stocked Locally",""
"2","Monitor, SVGA, 17 inch, 1024 x 768","Figure 3-2.csv","7025-05-000-7119","EX701FB-1","0VRH3","ST-30","0"
"2","Monitor, SVGA, 17 inch, 1024 x 768","Figure 3-2.csv","7025-05-000-7119","E70 (FST)","0V618","ST-30","0"
"3","Cable Assembly, external video","Figure 3-2.csv","6150-04-000-6145","156-0593-001","57219","C02E5","1"
"3","Cable Assembly, external video","Figure 3-2.csv","6150-04-000-6145","EVNPS05-0005-MF","59951","C02E5","1"
"4","Keyboard Assembly, 101 key, rack mounted","Figure 3-2.csv","7025-04-000-6151","299-0023-001","57219","C38S1","0"
"4","Keyboard Assembly, 101 key, rack mounted","Figure 3-2.csv","7025-04-000-6151","G81-1800LPMUS-0","01963","C38S1","0"
"5","Cable, 6 foot, mouse/keyboard","Figure 3-2.csv","6150-04-000-6144","156-0594-001","57219","Not Stocked Locally",""
"6","Hub, 8-port, with power supply","Figure 3-2.csv","7025-04-000-3328","AT-MR815LE-10","0T156","ST-67","1"
"6","Hub, 8-port, with power supply","Figure 3-2.csv","7025-04-000-3328","102-0343-001","57219","ST-67","1"
"6","Hub, 8-port, with power supply","Figure 3-2.csv","7025-04-000-3328","102-0343-001","57219","ST-67","1"
"7","Slide, 28 inch","Figure 3-2.csv","NSL","200.1113-001","57219","Not Stocked Locally",""
"7","Slide, 28 inch","Figure 3-2.csv","NSL","375QD-28","05236","Not Stocked Locally",""
"8","Computer Assembly, ICS","Figure 3-2.csv","7025-04-000-6150","102-0377-003","57219","VCS RM   PARTS ONLY","0"
"8","Computer Assembly, ICS","Figure 3-2.csv","7025-04-000-6150","TR4X-2874","0DJ42","VCS RM   PARTS ONLY","0"
"9","Motherboard, dual cpu, 1 gb","Figure 3-2.csv","5998-04-000-6137","300-0222-001","57219","ST-67","1"
"9","Motherboard, dual cpu, 1 gb","Figure 3-2.csv","5998-04-000-6137","BOXN440BX","34649","ST-67","1"
"10","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","Figure 3-2.csv","7025-04-000-6154","102-0370-001","57219","C02H2","1"
"10","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","Figure 3-2.csv","7025-04-000-6154","BX80523P350512E","34221","C02H2","1"
"10","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","Figure 3-2.csv","7025-04-000-6154","C99CP560","09YY7","C02H2","1"
"10","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","Figure 3-2.csv","7025-04-000-6154","232A805-2","03640","C02H2","1"
"11","Drive, floppy, 3.5 inch, 1.44 mb","Figure 3-2.csv","7025-03-000-4941","232A813-1","03640","C02I3","2"
"11","Drive, floppy, 3.5 inch, 1.44 mb","Figure 3-2.csv","7025-03-000-4941","FD-235HF-C291","50356","C02I3","2"
"11","Drive, floppy, 3.5 inch, 1.44 mb","Figure 3-2.csv","7025-03-000-4941","102-0318-001","57219","C02I3","2"
"11","Drive, floppy, 3.5 inch, 1.44 mb","Figure 3-2.csv","7025-03-000-4941","MPF920-1/131","3K872","C02I3","2"
"12","Drive, cd-rom, internal, SCSI","Figure 3-2.csv","7025-04-000-0772","XM-5401B","0JR04","C02H1","1"
"12","Drive, cd-rom, internal, SCSI","Figure 3-2.csv","7025-04-000-0772","064-0052-001","0ZS81","C02H1","1"
"13","Chassis, computer, ICS/CFS, 26 deep x 17 wide x 7 inches high","Figure 3-2.csv","7025-04-000-6153","202-0083-001","57219","SSL","0"
"13","Chassis, computer, ICS/CFS, 26 deep x 17 wide x 7 inches high","Figure 3-2.csv","7025-04-000-6153","SS4-26A07-HS","0DJ42","SSL","0"
"14","Power supply, 250 W, ATX","Figure 3-2.csv","6130-04-000-6227","200-1078-001","57219","Not Stocked Locally",""
"14","Power supply, 250 W, ATX","Figure 3-2.csv","6130-04-000-6227","MR2-6250F-2S","TP204","Not Stocked Locally",""
"15","Power Supply Module, 6 output, 110/220 VAC, 250 W","Figure 3-2.csv","6130-04-000-6226","132-0130-001","57219","C02H2","1"
"15","Power Supply Module, 6 output, 110/220 VAC, 250 W","Figure 3-2.csv","6130-04-000-6226","066-00104-00","0DJ42","C02H2","1"
"16","Memory, DIMM, SDRAM, 128 mb","Figure 3-2.csv","5962-04-000-6138","150-0386-001","57219","Not Stocked Locally",""
"16","Memory, DIMM, SDRAM, 128 mb","Figure 3-2.csv","5962-04-000-6138","IBM13M16734HCB-360T","1BBP4","Not Stocked Locally",""
"16","Memory, DIMM, SDRAM, 128 mb","Figure 3-2.csv","5962-04-000-6138","I60089BX","50473","Not Stocked Locally",""
"16","Memory, DIMM, SDRAM, 128 mb","Figure 3-2.csv","5962-04-000-6138","MT18LSDT1672AG-10BC4","66095","Not Stocked Locally",""
"17","Cartridge, disk drive carrier, dp vi","Figure 3-2.csv","7025-04-000-6156","200-1077-001","57219","ST-64","1"
"17","Cartridge, disk drive carrier, dp vi","Figure 3-2.csv","7025-04-000-6156","9086-102-05","0JE80","ST-64","1"
"18","Frame, disk drive carrier, aluminum w/fan","Figure 3-2.csv","7025-04-000-6157","200-1076-001","57219","C02H2","1"
"18","Frame, disk drive carrier, aluminum w/fan","Figure 3-2.csv","7025-04-000-6157","8422-1100-0000","0JE80","C02H2","1"
"19","Drive, hard, ultra-SCSI, 9.1 gb","Figure 3-2.csv","7025-04-000-6076","102-0384-001","57219","C02H1","1"
"19","Drive, hard, ultra-SCSI, 9.1 gb","Figure 3-2.csv","7025-04-000-6582","ST39173W","65867","NONSTOCK","0"
"20","Adapter, network, I/F, PCI, UTP, BNC","Figure 3-2.csv","NSL","150-0388-001","57219","Not Stocked Locally",""
"21","Card Assembly, controller, PCI, raid","Figure 3-2.csv","7035-04-000-6158","DAC960PTL-0","0H504","Not Stocked Locally",""
"22","Fan, brushless, dc,12 v,1-9/16 inch square,7/16 inch wide, used on dataport","Figure 3-2.csv","4140-04-000-9855","DPFAN","0NCS7","C26C1","1"
"23","Power Supply, 1400 VA, 6 AC outlets","Figure 3-2.csv","6130-10-000-8370","SUA1500RM2U","0MG77","Not Stocked Locally",""
"23","Power Supply, 1400 VA, 6 AC outlets","Figure 3-2.csv","6130-10-000-8370","121K185H01","97942","Not Stocked Locally",""
"24","Connector, BNC, tee, 50 ohm","Figure 3-2.csv","5935-01-281-8092","124-0688-001","57219","F22A3","4"
"24","Connector, BNC, tee, 50 ohm","Figure 3-2.csv","5935-01-281-8092","27215","0T688","F22A3","4"
"24","Connector, BNC, tee, 50 ohm","Figure 3-2.csv","5935-01-281-8092","H8223-00","15476","F22A3","4"
"25","Connector terminator, BNC, 50 ohms","Figure 3-2.csv","5895-02-000-4591","KC-89-64","91836","F18H4","4"
"25","Connector terminator, BNC, 50 ohms","Figure 3-2.csv","5895-02-000-4591","FC135","59951","F18H4","4"
"26","Modem, external","Figure 3-2.csv","5895-04-000-6081","USR5686D","1B8Q7","Not Stocked Locally",""
"26","Modem, external","Figure 3-2.csv","5895-04-000-6081","102-0366-001","57219","Not Stocked Locally",""
"27","Cable Assembly, modem, 15 foot","Figure 3-2.csv","6150-03-000-4612","156-0381-001","57219","F24D1","1"
"27","Cable Assembly, modem, 15 foot","Figure 3-2.csv","6150-03-000-4612","5045-0015","4T656","F24D1","1"
"28","Nameplate, 7.5 mm, with adhesive","Figure 3-2.csv","NSL","H66355-A75-K1","ZAHNL","Not Stocked Locally",""
"29","Label, cabinet ID, SICS","Figure 3-2.csv","NSL","32.1557.712-01","57219","Not Stocked Locally",""
"","ICS Cabinet Assembly, PICS","Figure 3-3.csv","NSL","32.1557.711-00","57219","Not Stocked Locally",""
"1","Cabinet, computer, ICS","Figure 3-3.csv","7025-06-000-8087","202-0088-001","57219","Not Stocked Locally",""
"1","Cabinet, computer, ICS","Figure 3-3.csv","7025-06-000-8087","WA4-421930-USPS-5","0HLX1","Not Stocked Locally",""
"2","Monitor, SVGA, 17 inch, 1024 x 768","Figure 3-3.csv","7025-05-000-7119","EX701FB-1","0VRH3","ST-30","0"
"2","Monitor, SVGA, 17 inch, 1024 x 768","Figure 3-3.csv","7025-05-000-7119","E70 (FST)","0V618","ST-30","0"
"3","Cable Assembly, external video","Figure 3-3.csv","6150-04-000-6145","156-0593-001","57219","C02E5","1"
"3","Cable Assembly, external video","Figure 3-3.csv","6150-04-000-6145","EVNPS05-0005-MF","59951","C02E5","1"
"4","Switch Assembly, console","Figure 3-3.csv","5930-05-000-2983","32.1557.714-00","57219","Not Stocked Locally",""
"5","Keyboard Assembly, 101 key, rack mounted","Figure 3-3.csv","7025-04-000-6151","299-0023-001","57219","C38S1","0"
"5","Keyboard Assembly, 101 key, rack mounted","Figure 3-3.csv","7025-04-000-6151","G81-1800LPMUS-0","01963","C38S1","0"
"6","Cable, 6 feet, mouse/keyboard","Figure 3-3.csv","6150-04-000-6144","156-0594-001","57219","Not Stocked Locally",""
"7","Hub, 8-port, with power supply","Figure 3-3.csv","7025-04-000-3328","AT-MR815LE-10","0T156","ST-67","1"
"7","Hub, 8-port, with power supply","Figure 3-3.csv","7025-04-000-3328","102-0343-001","57219","ST-67","1"
"8","Slide, 28 inch","Figure 3-3.csv","NSL","200.1113-001","57219","Not Stocked Locally",""
"8","Slide, 28 inch","Figure 3-3.csv","NSL","375QD-28","05236","Not Stocked Locally",""
"9","Computer Assembly, ICS","Figure 3-3.csv","7025-04-000-6150","102-0377-003","57219","VCS RM   PARTS ONLY","0"
"9","Computer Assembly, ICS","Figure 3-3.csv","7025-04-000-6150","TR4X-2874","0DJ42","VCS RM   PARTS ONLY","0"
"10","Motherboard, dual cpu, 1 gb","Figure 3-3.csv","5998-04-000-6137","300-0222-001","57219","ST-67","1"
"10","Motherboard, dual cpu, 1 gb","Figure 3-3.csv","5998-04-000-6137","BOXN440BX","34649","ST-67","1"
"11","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","Figure 3-3.csv","7025-04-000-6154","102-0370-001","57219","C02H2","1"
"11","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","Figure 3-3.csv","7025-04-000-6154","BX80523P350512E","34221","C02H2","1"
"11","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","Figure 3-3.csv","7025-04-000-6154","C99CP560","09YY7","C02H2","1"
"11","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","Figure 3-3.csv","7025-04-000-6154","232A805-2","03640","C02H2","1"
"12","Drive, floppy, 3.5 inch, 1.44 mb","Figure 3-3.csv","7025-03-000-4941","232A813-1","03640","C02I3","2"
"12","Drive, floppy, 3.5 inch, 1.44 mb","Figure 3-3.csv","7025-03-000-4941","FD-235HF-C291","50356","C02I3","2"
"12","Drive, floppy, 3.5 inch, 1.44 mb","Figure 3-3.csv","7025-03-000-4941","102-0318-001","57219","C02I3","2"
"12","Drive, floppy, 3.5 inch, 1.44 mb","Figure 3-3.csv","7025-03-000-4941","MPF920-1/131","3K872","C02I3","2"
"13","Drive, cd-rom, internal, SCSI","Figure 3-3.csv","7025-04-000-0772","XM-5401B","0JR04","C02H1","1"
"13","Drive, cd-rom, internal, SCSI","Figure 3-3.csv","7025-04-000-0772","064-0052-001","0ZS81","C02H1","1"
"14","Chassis, computer, ICS/CFS, 26 deep x 17 wide x 7 inches high","Figure 3-3.csv","7025-04-000-6153","202-0083-001","57219","SSL","0"
"14","Chassis, computer, ICS/CFS, 26 deep x 17 wide x 7 inches high","Figure 3-3.csv","7025-04-000-6153","SS4-26A07-HS","0DJ42","SSL","0"
"15","Power supply, 250 W, ATX","Figure 3-3.csv","6130-04-000-6227","200-1078-001","57219","Not Stocked Locally",""
"15","Power supply, 250 W, ATX","Figure 3-3.csv","6130-04-000-6227","MR2-6250F-2S","TP204","Not Stocked Locally",""
"16","Power Supply Module, 6 output, 110/220 VAC, 250 W","Figure 3-3.csv","6130-04-000-6226","132-0130-001","57219","C02H2","1"
"16","Power Supply Module, 6 output, 110/220 VAC, 250 W","Figure 3-3.csv","6130-04-000-6226","066-00104-00","0DJ42","C02H2","1"
"17","Memory, DIMM, SDRAM, 128 mb","Figure 3-3.csv","5962-04-000-6138","150-0386-001","57219","Not Stocked Locally",""
"17","Memory, DIMM, SDRAM, 128 mb","Figure 3-3.csv","5962-04-000-6138","IBM13M16734HCB-360T","1BBP4","Not Stocked Locally",""
"17","Memory, DIMM, SDRAM, 128 mb","Figure 3-3.csv","5962-04-000-6138","I60089BX","50473","Not Stocked Locally",""
"17","Memory, DIMM, SDRAM, 128 mb","Figure 3-3.csv","5962-04-000-6138","MT18LSDT1672AG-10BC4","66095","Not Stocked Locally",""
"18","Cartridge, disk drive carrier, dp vi","Figure 3-3.csv","7025-04-000-6156","200-1077-001","57219","ST-64","1"
"18","Cartridge, disk drive carrier, dp vi","Figure 3-3.csv","7025-04-000-6156","9086-102-05","0JE80","ST-64","1"
"19","Frame, disk drive carrier, aluminum w/fan","Figure 3-3.csv","7025-04-000-6157","200-1076-001","57219","C02H2","1"
"19","Frame, disk drive carrier, aluminum w/fan","Figure 3-3.csv","7025-04-000-6157","8422-1100-0000","0JE80","C02H2","1"
"20","Drive, hard, ultra-SCSI, 9.1 gb","Figure 3-3.csv","7025-04-000-6076","102-0384-001","57219","C02H1","1"
"20","Drive, hard, ultra-SCSI, 9.1 gb","Figure 3-3.csv","7025-04-000-6582","ST39173W","65867","NONSTOCK","0"
"21","Adapter, network, I/F, PCI, UTP, BNC","Figure 3-3.csv","NSL","150-0388-001","57219","Not Stocked Locally",""
"22","Card Assembly, controller, PCI, raid","Figure 3-3.csv","7035-04-000-6158","DAC960PTL-0","0H504","Not Stocked Locally",""
"23","Fan, brushless, dc,12 v,1-9/16 inch square,7/16 inch wide, used on dataport","Figure 3-3.csv","4140-04-000-9855","DPFAN","0NCS7","C26C1","1"
"24","PCB Assembly, ethernet, 10/100 single port","Figure 3-3.csv","5998-04-000-5695","300-0227-001","57219","D04D2","1"
"24","PCB Assembly, ethernet, 10/100 single port","Figure 3-3.csv","5998-04-000-5695","3C905B-TX","64034","D04D2","1"
"24","PCB Assembly, ethernet, 10/100 single port","Figure 3-3.csv","5998-04-000-5695","3C905C-TX","64034","D04D2","1"
"25","Power Supply, 1400 VA, 6 AC outlets","Figure 3-3.csv","6130-10-000-8370","SUA1500RM2U","0MG77","Not Stocked Locally",""
"25","Power Supply, 1400 VA, 6 AC outlets","Figure 3-3.csv","6130-10-000-8370","121K185H01","97942","Not Stocked Locally",""
"26","Connector, BNC, tee, 50 ohms","Figure 3-3.csv","5935-01-281-8092","124-0688-001","57219","F22A3","4"
"26","Connector, BNC, tee, 50 ohms","Figure 3-3.csv","5935-01-281-8092","27215","0T688","F22A3","4"
"26","Connector, BNC, tee, 50 ohms","Figure 3-3.csv","5935-01-281-8092","H8223-00","15476","F22A3","4"
"27","Connector terminator, BNC, 50 ohms","Figure 3-3.csv","5895-02-000-4591","KC-89-64","91836","F18H4","4"
"27","Connector terminator, BNC, 50 ohms","Figure 3-3.csv","5895-02-000-4591","FC135","59951","F18H4","4"
"28","Modem, external","Figure 3-3.csv","5895-04-000-6081","USR5686D","1B8Q7","Not Stocked Locally",""
"28","Modem, external","Figure 3-3.csv","5895-04-000-6081","102-0366-001","57219","Not Stocked Locally",""
"29","Cable Assembly, modem, 15 foot","Figure 3-3.csv","6150-03-000-4612","156-0381-001","57219","F24D1","1"
"29","Cable Assembly, modem, 15 foot","Figure 3-3.csv","6150-03-000-4612","5045-0015","4T656","F24D1","1"
"30","Nameplate, 7.5 mm, with adhesive","Figure 3-3.csv","NSL","H66355-A75-K1","ZAHNL","Not Stocked Locally",""
"31","Label, cabinet ID, PICS","Figure 3-3.csv","NSL","32.1557.711-01","57219","Not Stocked Locally",""
"32","Fan, power supply","Figure 3-3.csv","NSL","3110KL-04W-B50","57219","Not Stocked Locally",""
"","Scan Head Assembly","Figure 3-4.csv","7025-04-000-6086","32.1578.351-00","57219","C02I1","1"
"1","Cable Assembly, Reader Box, ICS3 Box To ICS3 Scanhead","Figure 3-4.csv","6150-04-000-6070","32.1591.540-00","57219","MA7D1","1"
"2","Guide, profile","Figure 3-4.csv","3915-05-000-1139","32.1578.350-60","57219","D02C2","1"
"3","Plate, reflector","Figure 3-4.csv","6210-04-000-6969","32.1578.350-26","57219","C06C1","1"
"","Electronics Enclosure Assembly","Figure 3-5.csv","7025-04-000-6085","32.1578.340-00","57219","ST-27","0"
"1","Lamp,Led,Mr16,12V,6.5W,4000K,500Lum,Gu5.3 Base","Figure 3-5.csv","6240-10-000-0836","LED-6MR16DIM840","OA6Z1","A07F2","0"
"1","Lamp,Led,Mr16,12V,6.5W,4000K,500Lum,Gu5.3 Base","Figure 3-5.csv","6240-10-000-0836","25475","08806","A07F2","0"
"2","Filter, dust, 118 mm square, 8 mm thick","Figure 3-5.csv","4130-04-000-6107","32.1572.410-04","57219","C02F3","10"
"3","Filter, dust, fleece, fine,118 mm square x 0.29 mm thick","Figure 3-5.csv","4130-04-000-6108","32.1578.220-03","57219","D20B1","8"
