Value,
"ACTUATOR - 1A",
"BEARING - 1H",
"BELT - 1I",
"BIN - 1J",
"BRAKE - 1L",
"BRUSHES - 1M",
"CARRIAGE - 1S",
"CIRCUIT BREAKER - 1W",
"CLUTCH - 1Y",
"COMPUTER - 1Z",
"DIRTY/DUSTY - 2G",
"DISPLAY - 2H",
"E. STOP - 2L",
"FAULT - 2M",
"FEEDER - 2N",
"FUSE - 2P",
"GEAR BOX - 2R",
"IMPROPER OPERATION - 2X",
"INDUCTION STATION - 2Z",
"INTERLOCK - 3A",
"JAMS - 3C",
"NETWORK - 3M",
"OUT OF ADJUSTMENT - 3R",
"POWER FAILED - 3X",
"READER - 4B",
"RELAY - 4E",
"ROLLER - 4G",
"BENT - 5K",
"BRACKET - 5P",
"GEAR NOISY - 6D",
"INOPERATIVE - 6H",
"LABELS - 6L",
"LIMIT SWITCH - 6O",
"PHANTOM TRAYS DETECTED - 6T",
"PULLEY - 6Z",
"SENSOR - 7B",
"SLIDE - 7D",
"SWITCH FAULTY - 7L",
"WIRING - 7R",
"DIVERT THRESHOLD FAILURE - 7X",